Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,3040.000000,3069.000000,3016.449951,3030.350098,3008.645264,2056459
2021-12-08,3031.899902,3123.000000,3031.000000,3108.500000,3086.235596,1171484
2021-12-09,3152.399902,3183.050049,3111.000000,3178.699951,3155.932617,1287243
2021-12-10,3184.000000,3292.000000,3178.699951,3283.149902,3259.634521,2554394
2021-12-13,3285.100098,3341.000000,3270.949951,3279.850098,3256.358154,1265832
2021-12-14,3274.000000,3305.000000,3249.000000,3297.500000,3273.881836,863179
2021-12-15,3278.149902,3313.949951,3266.500000,3301.949951,3278.299805,811946
2021-12-16,3325.000000,3325.000000,3270.600098,3298.600098,3274.973877,502930
2021-12-17,3275.000000,3293.300049,3227.699951,3243.699951,3220.467041,1019403
2021-12-20,3227.000000,3275.000000,3181.000000,3239.449951,3216.247314,948872
2021-12-21,3247.000000,3296.000000,3240.000000,3271.350098,3247.919189,712026
2021-12-22,3275.699951,3285.649902,3241.000000,3280.100098,3256.606445,619865
2021-12-23,3290.000000,3307.899902,3250.000000,3267.899902,3244.493652,1051596
2021-12-24,3280.000000,3300.000000,3261.000000,3284.800049,3261.272705,651404
2021-12-27,3280.100098,3284.750000,3226.199951,3272.399902,3248.961426,640701
2021-12-28,3275.949951,3375.000000,3273.000000,3368.199951,3344.075439,1211648
2021-12-29,3372.199951,3386.000000,3346.199951,3367.449951,3343.330566,598421
2021-12-30,3363.250000,3390.000000,3350.300049,3365.699951,3341.593018,691223
2021-12-31,3390.000000,3405.000000,3361.399902,3382.949951,3358.719727,570671
2022-01-03,3383.000000,3440.899902,3383.000000,3422.399902,3397.887207,696276
2022-01-04,3434.000000,3472.449951,3415.050049,3459.300049,3434.522949,790886
2022-01-05,3470.000000,3540.000000,3452.050049,3526.800049,3501.539551,1024506
2022-01-06,3491.149902,3537.550049,3452.149902,3514.649902,3489.476318,1312743
2022-01-07,3514.649902,3582.000000,3496.550049,3576.300049,3550.684814,964364
2022-01-10,3580.000000,3590.000000,3527.000000,3553.500000,3528.048096,657511
2022-01-11,3550.600098,3564.000000,3495.050049,3538.750000,3513.403809,734344
2022-01-12,3556.899902,3582.449951,3534.000000,3543.800049,3518.417725,594543
2022-01-13,3560.000000,3560.000000,3450.000000,3456.250000,3431.494629,1153984
2022-01-14,3462.000000,3462.000000,3346.000000,3364.399902,3340.302490,1558978
2022-01-17,3364.399902,3399.000000,3321.000000,3378.649902,3354.450195,1103159
2022-01-18,3379.050049,3396.449951,3351.000000,3373.699951,3349.535889,558543
2022-01-19,3370.000000,3370.000000,3267.750000,3280.399902,3256.904053,1495218
2022-01-20,3282.000000,3364.899902,3222.000000,3306.399902,3282.717773,3075678
2022-01-21,3300.050049,3324.949951,3241.750000,3274.850098,3251.394043,1441694
2022-01-24,3268.000000,3270.000000,3135.000000,3155.149902,3132.551270,1575665
2022-01-25,3100.000000,3156.949951,3010.750000,3147.100098,3124.559082,2699779
2022-01-27,3140.100098,3143.000000,3071.250000,3116.949951,3094.624756,1834684
2022-01-28,3130.000000,3170.000000,3103.000000,3110.850098,3088.568604,892060
2022-01-31,3140.000000,3193.449951,3136.399902,3152.250000,3129.672119,944530
2022-02-01,3194.000000,3212.350098,3141.600098,3196.250000,3173.356934,1008915
2022-02-02,3204.800049,3244.149902,3192.149902,3197.699951,3174.796387,667265
2022-02-03,3212.850098,3241.600098,3190.199951,3203.000000,3180.058594,899753
2022-02-04,3188.000000,3248.800049,3176.050049,3236.649902,3213.467529,705765
2022-02-07,3234.000000,3251.199951,3143.100098,3174.699951,3151.961182,860393
2022-02-08,3179.000000,3223.500000,3166.199951,3216.350098,3193.312988,799206
2022-02-09,3230.000000,3259.000000,3222.750000,3228.350098,3205.227051,472725
2022-02-10,3220.000000,3248.000000,3176.000000,3238.750000,3215.552490,728666
2022-02-11,3229.949951,3229.949951,3182.500000,3216.300049,3193.263428,587840
2022-02-14,3140.000000,3182.699951,3120.000000,3143.449951,3120.935059,681236
2022-02-15,3140.000000,3270.000000,3132.850098,3264.600098,3241.217529,676844
2022-02-16,3280.000000,3285.100098,3223.000000,3252.850098,3229.551758,624320
2022-02-17,3273.000000,3294.949951,3236.399902,3265.850098,3242.458496,636735
2022-02-18,3236.149902,3272.000000,3230.050049,3258.449951,3235.111328,423801
2022-02-21,3235.000000,3278.449951,3204.149902,3251.649902,3228.360107,547472
2022-02-22,3120.000000,3236.800049,3120.000000,3227.149902,3204.035400,1147209
2022-02-23,3236.899902,3296.899902,3230.000000,3237.199951,3214.013428,935896
2022-02-24,3130.000000,3197.800049,3051.500000,3069.050049,3047.067871,1823450
2022-02-25,3105.000000,3141.449951,3083.050049,3119.199951,3096.858887,1239456
2022-02-28,3090.000000,3190.500000,3015.000000,3174.649902,3151.911377,1678348
2022-03-02,3107.000000,3111.199951,2991.100098,3028.949951,3007.255371,3014206
2022-03-03,3029.000000,3051.000000,2862.000000,2871.899902,2851.329834,4406840
2022-03-04,2863.800049,2863.800049,2662.050049,2738.149902,2718.537842,6979253
2022-03-07,2649.899902,2727.949951,2599.350098,2708.449951,2689.050537,3233760
2022-03-08,2690.000000,2736.949951,2638.000000,2723.399902,2703.893799,2611102
2022-03-09,2750.000000,2890.000000,2665.050049,2874.949951,2854.358154,4076068
2022-03-10,3000.000000,3040.000000,2891.199951,2912.800049,2891.937256,3971987
2022-03-11,2917.000000,2939.949951,2882.350098,2932.000000,2910.999512,1265493
2022-03-14,2950.000000,2972.350098,2917.300049,2962.800049,2941.579102,1214217
2022-03-15,2998.000000,3032.000000,2966.000000,2987.149902,2965.754639,1857685
2022-03-16,3043.000000,3050.000000,3010.750000,3042.000000,3020.211670,1287234
2022-03-17,3113.500000,3163.300049,3076.500000,3136.600098,3114.134277,2867519
2022-03-21,3117.300049,3117.300049,3030.100098,3045.750000,3023.934814,1259015
2022-03-22,3024.000000,3062.699951,2975.000000,3051.149902,3029.296143,1515772
2022-03-23,3060.000000,3079.899902,3005.000000,3016.800049,2995.192383,948403
2022-03-24,2969.500000,3038.949951,2950.550049,3025.350098,3003.681152,1243917
2022-03-25,3025.350098,3064.550049,2991.000000,3046.949951,3025.126221,1083275
2022-03-28,3046.949951,3058.600098,2995.649902,3027.449951,3005.765869,680332
2022-03-29,3069.000000,3087.699951,3012.699951,3042.600098,3020.807373,1120936
2022-03-30,3078.000000,3094.350098,3055.899902,3081.550049,3059.478516,849545
2022-03-31,3115.000000,3129.250000,3066.100098,3079.949951,3057.889893,1464862
2022-04-01,3110.000000,3121.000000,3087.649902,3114.149902,3091.844971,637392
2022-04-04,3124.949951,3143.000000,3093.500000,3118.000000,3095.667480,873264
2022-04-05,3110.000000,3157.000000,3080.000000,3140.800049,3118.304199,805874
